sequence_id,source_domain,split,fuzzy_amazon_beauty,fuzzy_dravidian_kannada,fuzzy_dravidian_malayalam,fuzzy_dravidian_tamil
amazon_beauty_test_0,amazon_beauty,test,0.5585805413558456,0.27929793664096014,0.0,0.16212152200319424
amazon_beauty_test_1,amazon_beauty,test,0.8875190850143435,0.07858391234749398,0.0,0.03389700263816254
amazon_beauty_test_2,amazon_beauty,test,0.9454655019542827,0.05394323259958557,0.0005912654461317235,0.0
amazon_beauty_test_3,amazon_beauty,test,0.9023871714118168,0.04926586049016649,0.048346968098016765,0.0
amazon_beauty_test_4,amazon_beauty,test,0.8027588390894527,0.10460489549569688,0.09263626541485041,0.0
amazon_beauty_test_5,amazon_beauty,test,0.7230282968209408,0.13721952976841875,0.13975217341064036,0.0
amazon_beauty_test_6,amazon_beauty,test,0.5149937854599081,0.3351665689942749,0.14983964554581694,0.0
amazon_beauty_test_7,amazon_beauty,test,0.6257965001800696,0.23916905757474605,0.0,0.13503444224518435
amazon_beauty_test_8,amazon_beauty,test,0.7372631223448871,0.11717047954234436,0.1455663981127685,0.0
amazon_beauty_test_9,amazon_beauty,test,0.8033730769614666,0.1138271432421372,0.08279977979639612,0.0
amazon_beauty_test_10,amazon_beauty,test,0.8999666073379564,0.06547685045598815,0.0,0.03455654220605542
amazon_beauty_test_11,amazon_beauty,test,0.883362879832452,0.06945868456628938,0.04717843560125863,0.0
amazon_beauty_test_12,amazon_beauty,test,0.8961971869924725,0.06169887490286942,0.04210393810465809,0.0
amazon_beauty_test_13,amazon_beauty,test,0.8422547238979934,0.13607627416101656,0.021669001940990047,0.0
amazon_beauty_test_14,amazon_beauty,test,0.7738725041456347,0.09941263292092505,0.12671486293344028,0.0
amazon_beauty_test_15,amazon_beauty,test,0.5121041898917825,0.4113490640636119,0.0,0.07654674604460567
amazon_beauty_test_16,amazon_beauty,test,0.8735944030275616,0.05970997558867518,0.0,0.06669562138376323
amazon_beauty_test_17,amazon_beauty,test,0.7817624529506284,0.08089190200523871,0.13734564504413285,0.0
amazon_beauty_test_18,amazon_beauty,test,0.8070000123088762,0.10881274506630609,0.0841872426248177,0.0
amazon_beauty_test_19,amazon_beauty,test,0.8512046080882866,0.07033845913537795,0.0,0.07845693277633546
amazon_beauty_test_20,amazon_beauty,test,0.8648171134840075,0.10731338869812376,0.0,0.0278694978178688
amazon_beauty_test_21,amazon_beauty,test,0.7749330527457768,0.1286874090146377,0.0,0.0963795382395854
amazon_beauty_test_22,amazon_beauty,test,0.7508159412794941,0.140000163597249,0.1091838951232569,0.0
amazon_beauty_test_23,amazon_beauty,test,0.9398281617479706,0.011882634094530005,0.04828920415749943,0.0
amazon_beauty_test_24,amazon_beauty,test,0.8097258615989178,0.08473424012419319,0.10553989827688899,0.0
amazon_beauty_test_25,amazon_beauty,test,0.4952109738616596,0.37004893464697375,0.0,0.13474009149136668
amazon_beauty_test_26,amazon_beauty,test,0.8064496077630118,0.1392334831680547,0.054316909068933564,0.0
amazon_beauty_test_27,amazon_beauty,test,0.37592754361197245,0.220065026379016,0.4040074300090115,0.0
amazon_beauty_test_28,amazon_beauty,test,0.5090761126114356,0.19513909111427394,0.2957847962742905,0.0
amazon_beauty_test_29,amazon_beauty,test,0.7225490897254946,0.0940998915523198,0.18335101872218565,0.0
amazon_beauty_test_30,amazon_beauty,test,0.7750892580809445,0.11389625459446105,0.0,0.11101448732459437
amazon_beauty_test_31,amazon_beauty,test,0.5716688827404185,0.1674670188882341,0.2608640983713474,0.0
amazon_beauty_test_32,amazon_beauty,test,0.7074748578473073,0.16187290646754676,0.0,0.1306522356851459
amazon_beauty_test_33,amazon_beauty,test,0.8638528442620588,0.10931527035872984,0.026831885379211422,0.0
amazon_beauty_test_34,amazon_beauty,test,0.8175832640142945,0.10324748968051294,0.0,0.0791692463051926
amazon_beauty_test_35,amazon_beauty,test,0.7596760064595733,0.14131830135298507,0.0,0.09900569218744158
amazon_beauty_test_36,amazon_beauty,test,0.8193291925465839,0.08913674151935022,0.0,0.09153406593406593
amazon_beauty_test_37,amazon_beauty,test,0.47861681912879095,0.18586206783774148,0.33552111303346754,0.0
amazon_beauty_test_38,amazon_beauty,test,0.8691834747879604,0.10925625380600198,0.021560271406037536,0.0
amazon_beauty_test_39,amazon_beauty,test,0.88693261817985,0.05519849549433485,0.057868886325815126,0.0
amazon_beauty_test_40,amazon_beauty,test,0.8936325649538087,0.0577295263560474,0.0,0.04863790869014388
amazon_beauty_test_41,amazon_beauty,test,0.6074283096901026,0.3228977696348032,0.0,0.0696739206750942
amazon_beauty_test_42,amazon_beauty,test,0.9261495702665145,0.05463235879869354,0.019218070934792036,0.0
amazon_beauty_test_43,amazon_beauty,test,0.7588482995511766,0.13396772945689106,0.0,0.10718397099193236
amazon_beauty_test_44,amazon_beauty,test,0.4633601527515228,0.1880048030990283,0.34863504414944885,0.0
amazon_beauty_test_45,amazon_beauty,test,0.7815046955745253,0.09033764494236496,0.1281576594831097,0.0
amazon_beauty_test_46,amazon_beauty,test,0.3812792250943897,0.2212534254607607,0.39746734944484957,0.0
amazon_beauty_test_47,amazon_beauty,test,0.6107052446728446,0.14168066715826763,0.24761408816888775,0.0
amazon_beauty_test_48,amazon_beauty,test,0.7035741041513055,0.19387004440075034,0.0,0.1025558514479442
amazon_beauty_test_49,amazon_beauty,test,0.2632327384246827,0.2516754851401955,0.48509177643512186,0.0
amazon_beauty_test_50,amazon_beauty,test,0.8884136182613298,0.09317517889381738,0.0,0.018411202844852786
amazon_beauty_test_51,amazon_beauty,test,0.6282302935262937,0.283941117765239,0.08782858870846738,0.0
amazon_beauty_test_52,amazon_beauty,test,0.967072110744357,0.003999338775989037,0.02892855047965403,0.0
amazon_beauty_test_53,amazon_beauty,test,0.2644940927053338,0.5592232181657941,0.17628268912887202,0.0
amazon_beauty_test_54,amazon_beauty,test,0.7856434601408928,0.0651987539929279,0.14915778586617934,0.0
amazon_beauty_test_55,amazon_beauty,test,0.7542098374766728,0.15447300744001946,0.09131715508330776,0.0
amazon_beauty_test_56,amazon_beauty,test,0.8353205484425886,0.0925530077776474,0.07212644377976395,0.0
amazon_beauty_test_57,amazon_beauty,test,0.8452002110793257,0.12217702110159825,0.0,0.03262276781907598
amazon_beauty_test_58,amazon_beauty,test,0.8105945647675541,0.0946596082218237,0.09474582701062216,0.0
amazon_beauty_test_59,amazon_beauty,test,0.8433702635046971,0.1305739916934253,0.026055744801877556,0.0
amazon_beauty_test_60,amazon_beauty,test,0.624690556993691,0.17829572148306444,0.1970137215232446,0.0
amazon_beauty_test_61,amazon_beauty,test,0.7272538636632913,0.1328693949220873,0.1398767414146214,0.0
amazon_beauty_test_62,amazon_beauty,test,0.9095382202363447,0.07832410490577095,0.012137674857884324,0.0
amazon_beauty_test_63,amazon_beauty,test,0.88476452447977,0.08214834041639073,0.03308713510383921,0.0
amazon_beauty_test_64,amazon_beauty,test,0.7231154984822898,0.14577780371683433,0.13110669780087578,0.0
amazon_beauty_test_65,amazon_beauty,test,0.9036045826460519,0.07891791158894015,0.0,0.01747750576500788
amazon_beauty_test_66,amazon_beauty,test,0.2468085451047889,0.2615717323073808,0.4916197225878303,0.0
amazon_beauty_test_67,amazon_beauty,test,0.44341120267918704,0.28961404603211083,0.26697475128870213,0.0
amazon_beauty_test_68,amazon_beauty,test,0.8537394456661767,0.06572357202126809,0.08053698231255521,0.0
amazon_beauty_test_69,amazon_beauty,test,0.6163499543934327,0.15325580216884566,0.2303942434377217,0.0
amazon_beauty_test_70,amazon_beauty,test,0.8889357476367108,0.08233053627454234,0.02873371608874684,0.0
amazon_beauty_test_71,amazon_beauty,test,0.6307265843482777,0.13076342761701246,0.23850998803470988,0.0
amazon_beauty_test_72,amazon_beauty,test,0.7959076341802672,0.1600742975445692,0.044018068275163594,0.0
amazon_beauty_test_73,amazon_beauty,test,0.7534315583983712,0.10125696168546897,0.14531147991615984,0.0
amazon_beauty_test_74,amazon_beauty,test,0.8845960098431593,0.1109307427454556,0.00447324741138512,0.0
amazon_beauty_test_75,amazon_beauty,test,0.6175629192458613,0.2593719836603693,0.0,0.12306509709376943
amazon_beauty_test_76,amazon_beauty,test,0.3936129569144805,0.2043203607663785,0.402066682319141,0.0
amazon_beauty_test_77,amazon_beauty,test,0.7668256747674908,0.08396057910144547,0.0,0.14921374613106383
amazon_beauty_test_78,amazon_beauty,test,0.5591951471262274,0.16978530896758798,0.27101954390618466,0.0
amazon_beauty_test_79,amazon_beauty,test,0.31677117124865284,0.5276142047393926,0.15561462401195464,0.0
amazon_beauty_test_80,amazon_beauty,test,0.917201033382001,0.054984419478267856,0.02781454713973115,0.0
